D [lbs],V [ft/s],q [psi],Re,CD
0.206119,30.156711,0.007357,132725.0181,0.485697363
0.377896,40.506439,0.013372,180686.8697,0.489919135
0.480524,45.493154,0.016927,204188.9322,0.49213422
0.577611,50.602645,0.020985,227960.6638,0.477172005
0.563446,49.915686,0.02049,226203.2335,0.476714999
0.571968,50.949526,0.021448,232862.3904,0.462310126
0.520361,51.961547,0.022353,238323.1113,0.403568626
0.483696,52.951461,0.023233,243238.72,0.360923931
0.4512,53.979796,0.024155,248184.0507,0.323825112
0.415642,54.936515,0.025029,252746.0447,0.287888557
0.461697,55.443941,0.025227,250370.1991,0.317277971
0.400182,55.917064,0.025934,257326.5164,0.267507842
0.383721,56.929422,0.026889,262093.8473,0.24739413
0.370704,57.982905,0.0279,267046.8136,0.230341157
0.348809,58.974167,0.028862,271639.4619,0.209512401
0.333886,59.965614,0.029841,276238.1919,0.19396944
0.313556,60.604293,0.030167,274107.3819,0.180190324
0.298481,60.979636,0.03087,281045.6517,0.167621042
0.251882,61.950758,0.031863,285566.2812,0.137043659
0.22133,62.967558,0.032915,290261.3689,0.116572175
0.232022,63.96091,0.033969,294935.3365,0.118411772
0.276493,64.96252,0.035048,299646.7148,0.136763238
0.239866,65.398911,0.035159,296215.4768,0.118271649
0.317163,65.954269,0.036136,304340.1362,0.152156642
0.371272,66.952314,0.037231,308902.5151,0.172876504
0.385763,67.92885,0.038334,313502.9008,0.174455597
0.413055,68.944151,0.039493,318247.0479,0.181316043
0.433574,69.955737,0.04066,322935.9578,0.184860589
0.423025,70.52576,0.0409,319659.0548,0.179304505
0.576236,78.878876,0.051181,357760.4416,0.195182149
0.524153,75.226602,0.046627,342147.4411,0.19488081
0.836929,85.107625,0.059686,387200.4305,0.243088614
0.935069,89.916364,0.066631,409217.7785,0.243285263
0.649564,80.024113,0.05281,364532.4724,0.21323292
1.013912,94.73468,0.074009,431631.3167,0.237500321
1.168236,99.894345,0.082294,455219.413,0.246099589
1.505275,109.938529,0.099666,500974.1657,0.261828727
1.865242,119.986758,0.118691,546644.581,0.272436864
2.249084,130.075389,0.13946,592444.827,0.279578963
2.658637,139.890089,0.161235,636796.9873,0.285856583
3.087655,149.335341,0.183668,679424.4669,0.291436368
3.572344,159.185095,0.208641,723912.7721,0.296826104
4.131725,169.85589,0.237387,771710.9642,0.301733097
5.091578,186.719704,0.28653,846995.6343,0.308056783
5.315941,190.583899,0.298397,863909.7077,0.308840448
5.597434,194.826468,0.31172,882653.0357,0.311295461
