Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,220407 15:24:00.552, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-19.999998,-0.000000, 0.021049,-0.051906, 0.035064, 1.194031,-3.025401, 0.216384, 0.021049,-0.051906, 0.035064, 1.194031,-3.025401, 0.216384, 0.002026,-0.055975, 0.035064, 0.087274,-3.251330, 0.216384, 0.000000, 0.000021,14.558142,72.926474, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.926455,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001568,-10.375275,-0.000186,,,,,
Sing,USC,220407 15:24:18.558, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-18.000000,-0.000000, 0.016468,-0.040688, 0.044315, 1.108742,-2.687974, 0.186126, 0.016468,-0.040688, 0.044315, 1.108742,-2.687974, 0.186126, 0.003089,-0.043785, 0.044315, 0.223846,-2.899036, 0.186126, 0.000000, 0.000032,14.554886,72.924839, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.924814,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001577,-10.375275,-0.000154,,,,,
Sing,USC,220407 15:24:36.557, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-15.999999,-0.000000, 0.016066,-0.035182, 0.036597, 1.018339,-2.376985, 0.162242, 0.016066,-0.035182, 0.036597, 1.018339,-2.376985, 0.162242, 0.005746,-0.038248, 0.036597, 0.323704,-2.565597, 0.162242, 0.000000, 0.000016,14.554172,72.922831, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.922814,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001646,-10.375275,-0.000149,,,,,
Sing,USC,220407 15:24:54.554, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-13.999998,-0.000000, 0.011235,-0.029721, 0.041795, 0.917817,-2.085714, 0.141184, 0.011235,-0.029721, 0.041795, 0.917817,-2.085714, 0.141184, 0.003711,-0.031556, 0.041795, 0.385974,-2.245800, 0.141184, 0.000000, 0.000027,14.554705,72.922278, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.922278,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001653,-10.375275,-0.000113,,,,,
Sing,USC,220407 15:25:12.553, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-11.999999,-0.000000, 0.013860,-0.019957, 0.034874, 0.805020,-1.768301, 0.125058, 0.013860,-0.019957, 0.034874, 0.805020,-1.768301, 0.125058, 0.009408,-0.022402, 0.034874, 0.419778,-1.897033, 0.125058, 0.000000, 0.000040,14.552695,72.920521, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.920504,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001610,-10.375275,-0.000128,,,,,
Sing,USC,220407 15:25:30.652, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-9.999998,-0.000000, 0.009912,-0.025085, 0.027881, 0.687571,-1.465225, 0.106812, 0.009912,-0.025085, 0.027881, 0.687571,-1.465225, 0.106812, 0.005405,-0.026425, 0.027881, 0.422691,-1.562360, 0.106812, 0.000000, 0.000034,14.551805,72.919361, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.919361,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001681,-10.375275,-0.000096,,,,,
Sing,USC,220407 15:25:48.653, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-7.999999,-0.000000, 0.011933,-0.018998, 0.016582, 0.567185,-1.166080, 0.084571, 0.011933,-0.018998, 0.016582, 0.567185,-1.166080, 0.084571, 0.009173,-0.020474, 0.016582, 0.399378,-1.233669, 0.084571, 0.000000, 0.000029,14.550167,72.918941, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.918922,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001695,-10.375275,-0.000105,,,,,
Sing,USC,220407 15:26:06.656, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-5.999998,-0.000000, 0.017351,-0.017988, 0.005843, 0.436240,-0.866322, 0.060762, 0.017351,-0.017988, 0.005843, 0.436240,-0.866322, 0.060762, 0.015376,-0.019703, 0.005843, 0.343295,-0.907175, 0.060762, 0.000000, 0.000045,14.546854,72.916642, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.916678,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001678,-10.375275,-0.000136,,,,,
Sing,USC,220407 15:26:24.654, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-3.999999,-0.000000, 0.022339,-0.016559, 0.001841, 0.300270,-0.574281, 0.040139, 0.022339,-0.016559, 0.001841, 0.300270,-0.574281, 0.040139, 0.021129,-0.018077, 0.001841, 0.259478,-0.593828, 0.040139, 0.000000, 0.000015,14.549032,72.916079, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.916093,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001639,-10.375275,-0.000164,,,,,
Sing,USC,220407 15:26:42.659, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-1.999998,-0.000000, 0.017007,-0.007610,-0.002188, 0.157784,-0.264977, 0.017238, 0.017007,-0.007610,-0.002188, 0.157784,-0.264977, 0.017238, 0.016731,-0.008199,-0.002188, 0.148440,-0.270322, 0.017238, 0.000000, 0.000020,14.551810,72.915192, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.915195,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001705,-10.375275,-0.000124,,,,,
Sing,USC,220407 15:27:00.753, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000000, 0.010884,-0.004027,-0.027132, 0.001539, 0.022426,-0.010072, 0.010884,-0.004027,-0.027132, 0.001539, 0.022426,-0.010072, 0.010884,-0.004027,-0.027132, 0.001539, 0.022426,-0.010072, 0.000000, 0.000024,14.551366,72.915148, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.915153,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001654,-10.375275,-0.000078,,,,,
