Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,220407 15:30:50.751, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,19.999999,-0.000000,-0.041530, 0.076578,-0.156148,-1.889484, 2.767825,-0.377228,-0.041530, 0.076578,-0.156148,-1.889484, 2.767825,-0.377228,-0.065217, 0.057756,-0.156148,-2.722186, 1.954663,-0.377228, 0.000000, 0.000040,14.554330,72.915377, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.915410,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001666,-10.375275, 0.000311,,,,,
Sing,USC,220407 15:31:08.851, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,18.000000,-0.000000,-0.027696, 0.050816,-0.120905,-1.710070, 2.370188,-0.270959,-0.027696, 0.050816,-0.120905,-1.710070, 2.370188,-0.270959,-0.042043, 0.039771,-0.120905,-2.358802, 1.725742,-0.270959, 0.000000, 0.000019,14.552087,72.915645, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.915675,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001647,-10.375275, 0.000221,,,,,
Sing,USC,220407 15:31:26.952, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,15.999999,-0.000000,-0.013508, 0.038405,-0.103411,-1.509633, 2.057461,-0.201450,-0.013508, 0.038405,-0.103411,-1.509633, 2.057461,-0.201450,-0.023571, 0.033194,-0.103411,-2.018266, 1.561647,-0.201450, 0.000000, 0.000014,14.554672,72.915095, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.915140,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001613,-10.375275, 0.000123,,,,,
Sing,USC,220407 15:31:45.050, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,13.999999,-0.000000,-0.007079, 0.027104,-0.089696,-1.311492, 1.754233,-0.149443,-0.007079, 0.027104,-0.089696,-1.311492, 1.754233,-0.149443,-0.013426, 0.024587,-0.089696,-1.696922, 1.384846,-0.149443, 0.000000, 0.000026,14.552500,72.915048, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.914993,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001638,-10.375275, 0.000077,,,,,
Sing,USC,220407 15:32:03.153, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,12.000000,-0.000000,-0.000949, 0.019021,-0.051055,-1.113239, 1.489031,-0.102731,-0.000949, 0.019021,-0.051055,-1.113239, 1.489031,-0.102731,-0.004882, 0.018408,-0.051055,-1.398499, 1.225037,-0.102731, 0.000000, 0.000037,14.555230,72.915640, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.915659,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001652,-10.375275, 0.000033,,,,,
Sing,USC,220407 15:32:21.252, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999,-0.000000, 0.002244, 0.012469,-0.040468,-0.916883, 1.222148,-0.066315, 0.002244, 0.012469,-0.040468,-0.916883, 1.222148,-0.066315, 0.000044, 0.012669,-0.040468,-1.115178, 1.044366,-0.066315, 0.000000, 0.000042,14.555222,72.915734, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.915714,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001653,-10.375275, 0.000007,,,,,
Sing,USC,220407 15:32:39.353, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.000000,-0.000000, 0.003938, 0.005912,-0.027964,-0.730771, 0.945416,-0.032640, 0.003938, 0.005912,-0.027964,-0.730771, 0.945416,-0.032640, 0.003077, 0.006403,-0.027964,-0.855236, 0.834511,-0.032640, 0.000000, 0.000017,14.555678,72.915930, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.915899,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001644,-10.375275,-0.000009,,,,,
Sing,USC,220407 15:32:57.449, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.999999,-0.000000, 0.006608,-0.004452,-0.012404,-0.551233, 0.670777,-0.003298, 0.006608,-0.004452,-0.012404,-0.551233, 0.670777,-0.003298, 0.007037,-0.003737,-0.012404,-0.618329, 0.609483,-0.003298, 0.000000, 0.000036,14.556644,72.916173, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.916209,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001631,-10.375275,-0.000030,,,,,
Sing,USC,220407 15:33:15.551, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.000000,-0.000000, 0.013717,-0.007064,-0.019436,-0.374177, 0.384135, 0.024205, 0.013717,-0.007064,-0.019436,-0.374177, 0.384135, 0.024205, 0.014176,-0.006090,-0.019436,-0.400061, 0.357098, 0.024205, 0.000000, 0.000026,14.556109,72.916460, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.916449,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001604,-10.375275,-0.000084,,,,,
Sing,USC,220407 15:33:33.651, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.999999,-0.000000, 0.013447,-0.013531,-0.010697,-0.201838, 0.136541, 0.048381, 0.013447,-0.013531,-0.010697,-0.201838, 0.136541, 0.048381, 0.013911,-0.013054,-0.010697,-0.206480, 0.129413, 0.048381, 0.000000, 0.000018,14.556724,72.916187, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.916200,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001638,-10.375275,-0.000087,,,,,
Sing,USC,220407 15:33:51.854, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001,-0.000000, 0.015453,-0.021440,-0.009446,-0.028882,-0.143219, 0.069699, 0.015453,-0.021440,-0.009446,-0.028882,-0.143219, 0.069699, 0.015453,-0.021440,-0.009446,-0.028882,-0.143219, 0.069699, 0.000000, 0.000028,14.557501,72.915606, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.915587,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001650,-10.375275,-0.000105,,,,,
Sing,USC,220407 15:34:09.950, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-1.999999,-0.000000, 0.022317,-0.024495,-0.007287, 0.120362,-0.423902, 0.092150, 0.022317,-0.024495,-0.007287, 0.120362,-0.423902, 0.092150, 0.021448,-0.025259,-0.007287, 0.105495,-0.427844, 0.092150, 0.000000, 0.000013,14.558755,72.917195, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.917187,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001665,-10.375275,-0.000156,,,,,
Sing,USC,220407 15:34:28.055, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-3.999999,-0.000000, 0.021644,-0.023156, 0.011824, 0.259581,-0.713200, 0.109335, 0.021644,-0.023156, 0.011824, 0.259581,-0.713200, 0.109335, 0.019976,-0.024609, 0.011824, 0.209198,-0.729570, 0.109335, 0.000000, 0.000017,14.558336,72.916908, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.916913,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001668,-10.375275,-0.000157,,,,,
Sing,USC,220407 15:34:46.156, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-5.999998,-0.000000, 0.026933,-0.030808, 0.010166, 0.416879,-0.997872, 0.126624, 0.026933,-0.030808, 0.010166, 0.416879,-0.997872, 0.126624, 0.023565,-0.033455, 0.010166, 0.310289,-1.035981, 0.126624, 0.000000, 0.000040,14.556855,72.917148, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.917142,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001667,-10.375275,-0.000197,,,,,
Sing,USC,220407 15:35:04.250, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-7.999999,-0.000000, 0.023052,-0.027833, 0.038474, 0.552530,-1.279122, 0.141801, 0.023052,-0.027833, 0.038474, 0.552530,-1.279122, 0.141801, 0.018954,-0.030770, 0.038474, 0.369133,-1.343571, 0.141801, 0.000000, 0.000030,14.555506,72.916267, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.916267,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001618,-10.375275,-0.000178,,,,,
Sing,USC,220407 15:35:22.351, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-9.999998,-0.000000, 0.025507,-0.027937, 0.030335, 0.667337,-1.561554, 0.154514, 0.025507,-0.027937, 0.030335, 0.667337,-1.561554, 0.154514, 0.020268,-0.031942, 0.030335, 0.386037,-1.653713, 0.154514, 0.000000, 0.000016,14.553987,72.916618, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.916612,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001681,-10.375275,-0.000199,,,,,
Sing,USC,220407 15:35:40.454, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-11.999999,-0.000000, 0.021777,-0.031376, 0.036619, 0.791665,-1.845756, 0.166897, 0.021777,-0.031376, 0.036619, 0.791665,-1.845756, 0.166897, 0.014778,-0.035218, 0.036619, 0.390611,-1.970018, 0.166897, 0.000000, 0.000019,14.551513,72.915982, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.916054,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001663,-10.375275,-0.000179,,,,,
Sing,USC,220407 15:35:58.551, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-13.999998,-0.000000, 0.016850,-0.033700, 0.034722, 0.896880,-2.122762, 0.179480, 0.016850,-0.033700, 0.034722, 0.896880,-2.122762, 0.179480, 0.008197,-0.036776, 0.034722, 0.356696,-2.276681, 0.179480, 0.000000, 0.000026,14.549766,72.916703, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.916706,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001694,-10.375275,-0.000150,,,,,
Sing,USC,220407 15:36:16.650, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-15.999999,-0.000000, 0.017951,-0.040765, 0.031821, 1.003532,-2.436357, 0.190323, 0.017951,-0.040765, 0.031821, 1.003532,-2.436357, 0.190323, 0.006019,-0.044134, 0.031821, 0.293105,-2.618588, 0.190323, 0.000000, 0.000044,14.551107,72.915913, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.915916,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001662,-10.375275,-0.000160,,,,,
Sing,USC,220407 15:36:34.749, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-18.000000,-0.000000, 0.016705,-0.043002, 0.033492, 1.105405,-2.700744, 0.206129, 0.016705,-0.043002, 0.033492, 1.105405,-2.700744, 0.206129, 0.002599,-0.046060, 0.033492, 0.216726,-2.910149, 0.206129, 0.000000, 0.000032,14.551797,72.916195, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.916162,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001682,-10.375275,-0.000156,,,,,
Sing,USC,220407 15:36:52.855, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-19.999998,-0.000000, 0.021195,-0.044500, 0.033055, 1.190280,-3.003654, 0.217510, 0.021195,-0.044500, 0.033055, 1.190280,-3.003654, 0.217510, 0.004696,-0.049066, 0.033055, 0.091187,-3.229611, 0.217510, 0.000000, 0.000038,14.551716,72.915546, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.915546,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001623,-10.375275,-0.000189,,,,,
