Force (N),Position (mm),Stress (MPa),Strain From Position (Compression) (%)
41.1,0,0.00683,0
41.5,0,0.0069,0
43.6,0,0.00725,0
43.5,0,0.00724,0
42.1,0,0.007,0
44.2,0,0.00734,0
41.7,0,0.00693,0
43.3,0,0.0072,0
44.2,0,0.00734,0
44.3,0,0.00736,0
53.6,0.0029,0.0089,0.00381
71.8,0.0077,0.0119,0.0101
75.4,0.0077,0.0125,0.0101
75.8,0.0083,0.0126,0.0109
95.2,0.0116,0.0158,0.0152
96,0.0117,0.016,0.0154
108,0.0138,0.018,0.0181
126,0.0164,0.0209,0.0215
129,0.0171,0.0214,0.0225
159,0.0209,0.0264,0.0274
164,0.0213,0.0273,0.028
175,0.0225,0.029,0.0295
214,0.027,0.0356,0.0355
214,0.0271,0.0356,0.0356
237,0.0292,0.0394,0.0383
256,0.0313,0.0425,0.0411
257,0.0315,0.0427,0.0414
289,0.0343,0.048,0.045
320,0.0367,0.0531,0.0482
326,0.0371,0.0542,0.0487
365,0.0401,0.0607,0.0527
373,0.0408,0.0621,0.0536
400,0.0427,0.0665,0.0561
417,0.0439,0.0693,0.0577
459,0.0468,0.0763,0.0615
462,0.0471,0.0768,0.0619
497,0.0492,0.0826,0.0646
512,0.0502,0.0851,0.0659
525,0.051,0.0873,0.067
580,0.0543,0.0964,0.0713
589,0.0549,0.0978,0.0721
631,0.0573,0.105,0.0753
654,0.0585,0.109,0.0768
674,0.0596,0.112,0.0783
726,0.0623,0.121,0.0818
745,0.0633,0.124,0.0831
781,0.0651,0.13,0.0855
832,0.0676,0.138,0.0888
840,0.068,0.14,0.0893
895,0.0705,0.149,0.0926
945,0.0727,0.157,0.0955
960,0.0734,0.16,0.0964
1050,0.0771,0.174,0.101
1070,0.078,0.178,0.102
1130,0.0803,0.187,0.105
1170,0.082,0.195,0.108
1220,0.0838,0.202,0.11
1250,0.085,0.207,0.112
1300,0.0872,0.217,0.115
1330,0.0882,0.222,0.116
1390,0.0904,0.232,0.119
1440,0.0918,0.239,0.121
1490,0.0938,0.248,0.123
1530,0.0949,0.254,0.125
1620,0.0979,0.269,0.129
1640,0.0986,0.272,0.129
1710,0.101,0.284,0.132
1740,0.102,0.288,0.133
1820,0.104,0.303,0.137
1830,0.105,0.305,0.137
1890,0.106,0.315,0.14
1920,0.107,0.32,0.141
2010,0.11,0.334,0.144
2040,0.111,0.34,0.145
2120,0.113,0.352,0.148
2160,0.114,0.359,0.15
2200,0.115,0.366,0.151
2300,0.118,0.382,0.155
2340,0.119,0.389,0.157
2410,0.121,0.401,0.159
2450,0.122,0.408,0.161
2540,0.124,0.421,0.164
2560,0.125,0.426,0.165
2680,0.128,0.445,0.169
2720,0.13,0.452,0.17
2780,0.131,0.462,0.173
2850,0.133,0.474,0.175
2920,0.135,0.486,0.178
2990,0.137,0.496,0.18
3060,0.139,0.508,0.182
3110,0.14,0.517,0.184
3170,0.142,0.527,0.186
3210,0.143,0.533,0.188
3310,0.146,0.55,0.191
3340,0.147,0.556,0.193
3450,0.149,0.573,0.196
3480,0.15,0.578,0.197
3560,0.152,0.592,0.2
3630,0.154,0.603,0.202
3680,0.156,0.611,0.204
3730,0.157,0.619,0.206
3810,0.159,0.633,0.209
3840,0.16,0.639,0.21
3910,0.162,0.65,0.212
3940,0.162,0.656,0.213
4020,0.164,0.668,0.216
4100,0.166,0.681,0.218
4130,0.167,0.686,0.219
4270,0.17,0.71,0.223
4300,0.17,0.714,0.224
4390,0.172,0.729,0.226
4480,0.174,0.745,0.229
4540,0.176,0.755,0.231
4600,0.177,0.764,0.232
4720,0.179,0.785,0.235
4750,0.18,0.79,0.236
4880,0.183,0.812,0.24
4960,0.184,0.824,0.242
5080,0.186,0.844,0.245
5120,0.187,0.85,0.246
5240,0.189,0.871,0.249
5340,0.191,0.887,0.251
5430,0.193,0.903,0.253
5550,0.195,0.923,0.256
5610,0.196,0.932,0.258
5670,0.197,0.942,0.259
5770,0.199,0.958,0.262
5890,0.201,0.98,0.264
5980,0.203,0.995,0.267
6060,0.205,1.01,0.269
6180,0.207,1.03,0.271
6220,0.207,1.03,0.272
6360,0.21,1.06,0.276
6430,0.211,1.07,0.277
6510,0.213,1.08,0.279
6610,0.214,1.1,0.281
6680,0.216,1.11,0.283
6750,0.217,1.12,0.285
6780,0.217,1.13,0.285
6930,0.22,1.15,0.289
7010,0.221,1.17,0.291
7090,0.223,1.18,0.292
7210,0.225,1.2,0.295
7290,0.226,1.21,0.297
7380,0.228,1.23,0.299
7440,0.229,1.24,0.3
7590,0.231,1.26,0.304
7660,0.232,1.27,0.305
7780,0.234,1.29,0.308
7850,0.236,1.3,0.31
7970,0.238,1.32,0.312
8030,0.239,1.33,0.313
8160,0.241,1.36,0.316
8260,0.243,1.37,0.318
8380,0.244,1.39,0.321
8480,0.246,1.41,0.323
8590,0.248,1.43,0.326
8640,0.249,1.44,0.327
8830,0.252,1.47,0.331
8860,0.253,1.47,0.332
8950,0.254,1.49,0.334
9100,0.257,1.51,0.337
9190,0.258,1.53,0.339
9250,0.259,1.54,0.34
9440,0.262,1.57,0.344
9470,0.263,1.57,0.345
9600,0.265,1.6,0.348
9680,0.266,1.61,0.349
9800,0.268,1.63,0.352
9830,0.269,1.63,0.353
9980,0.271,1.66,0.356
10000,0.272,1.67,0.357
10100,0.273,1.68,0.358
10200,0.275,1.7,0.362
10300,0.277,1.72,0.363
10400,0.278,1.73,0.366
10500,0.279,1.74,0.367
10600,0.282,1.77,0.37
10700,0.283,1.78,0.371
